AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
TECHNICAL CONSIDERATIONS FOR MAIZE FLOUR AND CORN MEAL FORTIFICATION IN PUBLIC HEALTH                                                                                                                   117.5                      8
YEAR IN ECOLOGY AND CONSERVATION BIOLOGY 2009                                                                                                                                                           117.143                    7
REWARD AND DECISION MAKING IN CORTICOBASAL GANGLIA NETWORKS                                                                                                                                             116.364                   22
RESILIENCE IN CHILDREN                                                                                                                                                                                  114.462                   39
WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE                                                                                                                                         113.417                  590
REACTIVE OXYGEN SPECIES: FROM RADIATION TO MOLECULAR BIOLOGY: A FESTSCHRIFT IN HONOR OF DANIEL L GILBERT                                                                                                113.083                   36
AMYGDALA IN BRAIN FUNCTION: BASIC AND CLINICAL APPROACHES                                                                                                                                               110.783                   23
ADOLESCENT BRAIN DEVELOPMENT: VULNERABILITIES AND OPPORTUNITIES                                                                                                                                         110.733                   60
JOURNAL OF ORGANIZATIONAL BEHAVIOR                                                                                                                                                                      110.244                 2308
NEUROIMMUNOMODULATION: MOLECULAR ASPECTS, INTEGRATIVE SYSTEMS, AND CLINICAL ADVANCES                                                                                                                    109.473                   74
ECONOMETRICA                                                                                                                                                                                            108.756                15542
IMMUNOLOGICAL REVIEWS                                                                                                                                                                                   108.009                 4017
YEAR IN ECOLOGY AND CONSERVATION BIOLOGY 2010                                                                                                                                                           108                        6
MOLECULAR SYSTEMS BIOLOGY                                                                                                                                                                               107.939                 1408
TECHNICAL CONSIDERATIONS FOR RICE FORTIFICATION IN PUBLIC HEALTH                                                                                                                                        106.667                    9
FRANCISELLA TULARENSIS: BIOLOGY, PATHOGENICITY, EPIDEMIOLOGY, AND BIODEFENSE                                                                                                                            105.364                   11
SOCIOECONOMIC STATUS AND HEALTH IN INDUSTRIAL NATIONS: SOCIAL, PSYCHOLOGICAL, AND BIOLOGICAL PATHWAYS                                                                                                   104.675                   77
STRESS RESPONSES IN BIOLOGY AND MEDICINE: STRESS OF LIFE IN MOLECULES, CELLS, ORGANISMS, AND PSYCHOSOCIAL COMMUNITIES                                                                                   103.083                   24
YEAR IN COGNITIVE NEUROSCIENCE                                                                                                                                                                          103.062                   48
LINKING AFFECT TO ACTION: CRITICAL CONTRIBUTIONS OF THE ORBITOFRONTAL CORTEX                                                                                                                            101.083                   36
STRUCTURE AND FUNCTIONS OF THE HUMAN PREFRONTAL CORTEX                                                                                                                                                   99.1923                  26
BIOLOGICAL BASIS OF COCAINE ADDICTION                                                                                                                                                                    98.6364                  11
ADDICTION REVIEWS 2                                                                                                                                                                                      97.6316                  19
POPULATION HEALTH AND AGING: STRENGTHENING THE DIALOGUE BETWEEN EPIDEMIOLOGY AND DEMOGRAPHY                                                                                                              96.4615                  13
ADDICTION REVIEWS                                                                                                                                                                                        96.1515                  33
INCREASING HEALTHY LIFE SPAN: CONVENTIONAL MEASURES AND SLOWING THE INNATE AGING PROCESS                                                                                                                 95.6098                  41
