AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
            2301        16.1111                   9
            2302        18.6154                  13
            2303        63.1667                  12
            2304        20.4667                  15
            2305        28.5                      8
            2306        15.125                    8
            2307        29.6667                  18
            2308        23.0833                  12
            2309        16.5                     10
             231        39.5                      2
            2310        40.375                    8
            2311        34.3333                   6
            2312         8                        2
            2313        34                        4
            2314        12                        2
            2315        18.75                     4
            2316        24.25                     4
            2317         9                        1
            2318        24                        1
            2319         2.5                      8
             232        77.5                      8
            2320         0.5                      2
            2321        11.6667                   3
            2322         5.5                      2
            2323         4                        1
            2324        17.5                      4
            2325         9.66667                  3
            2326        21                        2
            2327         6.44444                  9
            2328         1.25                     4
            2329         3                        1
             233        22                        5
            2330         5                        4
            2331        15.75                     4
            2333        29.5                      2
            2334         2.33333                  3
            2335        16.6                      5
            2336         6.75                     4
            2337         7                        1
            2338        33                        1
            2339         3.66667                  3
             234        60.8                      5
            2340         0.4                      5
            2342        10.2                      5
            2345        43.3333                   3
            2349        20                        1
             235        28                        2
            2350         3                        2
            2352         0                        1
            2353        43                        1
            2354         4                        2
            2356        27                        1
            2357        45                        1
            2358       144                        1
            2359         4.5                      2
             236       951.333                    3
            2360         0.2                     20
            2362         4                        1
            2366         1                        1
            2367        16                        1
            2368         5.5                      2
            2369         0                        1
             237        80.75                     4
            2370         6.5                      2
            2373         0.5                      8
             238        11.5                      2
            2383        24                        1
             239        14.5                      2
            2398         3                        1
              24        34.3625                3887
             240       114                        3
             241        96                        1
             242       127.333                    3
             243       159                        1
            2433         0                        1
             244        91                        4
             245        32                        3
             246        25.3333                  12
            2460      4509                        1
             247        58.8                      5
             248        68.25                     4
             249        61.3333                   3
              25        33.9665                3490
             250        44.6667                   6
             251        25                        3
            2512      1610                        1
            2519         6                        1
             252        16.5                      4
             253        16.4286                   7
            2539        44                        1
             254        35.5                      6
             256        64.25                     4
            2569       102                        1
             257        33                        1
            2572         0                        1
            2577        75                        1
             258       166                        3
             259        43.3333                   3
            2592        70                        1
            2595      1350                        1
              26        32.8507                2633
             260        61.375                    8
            2601         0                        1
            2604         0.25                     4
            2606         1                        1
            2608         0.321429                28
            2609         0                        1
             261        55                        2
            2614        23                        1
            2617        81                        1
             262        13.5                      4
             263        59.6667                   3
            2633        87                        1
            2637        43                        1
            2639       183                        1
             264        38.75                     4
            2644        47                        1
            2648        19                        1
            2649        90                        1
             265        46                        1
            2651        24                        1
            2652        69.5                      4
            2653        86.9167                  12
            2654        86.5                     26
            2655        94.7273                  33
            2656        48.2222                  36
            2657        69.0571                  35
            2658        80.25                    20
            2659       318.536                   28
             266        34.2857                   7
            2660        48                       18
            2661        85.375                    8
            2662        65.25                    20
            2663        59.6842                  19
            2664        50.5                     26
            2665        50.4857                  35
            2666        66.3438                  32
            2667        63.3103                  29
            2668        52.3077                  26
