ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.134.230.127","elite","AS132203","SG","Aceville Pte.ltd","390","N/A","443","socks4","4993","1","2023-10-18T11:26:34.047Z","87","3839","4415"
"173.249.15.248","elite","AS51167","DE","Contabo GmbH","89","Contabo GmbH","33471","socks4","2004","1","2023-10-18T11:26:34.436Z","100","4374","4384"
"137.220.53.12","elite","AS20473","CA","The Constant Company","100","Vultr Holdings, LLC","10544","socks4","2612","1","2023-10-18T11:26:34.039Z","81","3541","4370"
"190.90.100.233","elite","AS262589","CO","InterNexa Global Network","189","Jasz Comunicaciones Tecnologicas E Interactivas E.U","5678","socks4","4290","1","2023-10-18T11:26:34.050Z","92","3959","4309"
"152.32.78.24","elite","AS17639","PH","ComClark Network & Technology Corp","199","Convergeict","4145","socks4","4804","1","2023-10-18T11:26:34.049Z","95","4252","4468"
"103.69.20.38","elite","AS135724","IN","Allnet Broadband Network PVT LTD","193","Allnet Broadband Network Pvt Ltd","4145","socks4","5096","2","2023-10-18T11:26:32.036Z","100","4319","4325"
"38.127.172.35","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","11537","socks4","4704","1","2023-10-18T11:26:32.033Z","100","4253","4261"
"58.35.208.107","elite","AS4812","CN","China Telecom (Group)","183","Chinanet SH","4812","socks4","5097","1","2023-10-18T11:26:30.035Z","71","3111","4398"
"180.183.225.91","elite","AS45629","TH","Triple T Broadband Public Company Limited","199","Triple T Broadband Public Company Limited","44550","socks4","4999","1","2023-10-18T11:26:29.947Z","99","4349","4376"
"79.175.109.217","elite","AS9125","RS","Orion Telekom ISP IP Network","35","N/A","4145","socks4","4692","1","2023-10-18T11:26:29.946Z","99","4413","4438"
"94.130.171.189","elite","AS24940","DE","Hetzner Online GmbH","82","Hetzner","10004","socks5","4493","1","2023-10-18T11:26:29.945Z","77","3354","4333"
"104.16.226.6","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4811","1","2023-10-18T11:26:28.640Z","100","4443","4444"
"110.232.249.172","elite","AS45232","IN","Spacenet  PVT LTD","191","509 Jaina tower 1st District Center","51327","socks4","1800","1","2023-10-18T11:26:28.648Z","77","3331","4337"
"102.69.146.181","elite","AS328451","NG","IP Express Ltd","114","N/A","5678","socks4","4713","1","2023-10-18T11:26:28.644Z","86","3749","4373"
"202.159.60.65","elite","AS9340","ID","PT IndoInternet","167","N/A","443","socks4","4600","1","2023-10-18T11:26:28.646Z","100","4385","4405"
"172.67.14.237","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","4801","1","2023-10-18T11:26:28.642Z","100","4400","4403"
"142.44.241.192","elite","AS16276","CA","OVH SAS","86","OVH Hosting, Inc.","7497","socks5","3696","1","2023-10-18T11:26:28.647Z","100","4417","4422"
"142.4.207.10","elite","AS16276","FR","OVH SAS","98","OVH Hosting, Inc","48012","socks4","4396","1","2023-10-18T11:26:26.747Z","53","2326","4406"
"43.153.174.137","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","234","Tencent Cloud Computing","443","socks5","5094","1","2023-10-18T11:26:26.943Z","98","4222","4304"
"38.127.173.169","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","42908","socks5","4492","1","2023-10-18T11:26:26.944Z","100","4338","4343"
