AVERAGE CITATIONS PER YEAR - line
  Publish Year    Ave. Citations    No. of Papers
BIOLOGICAL PSYCHOLOGY                                                                                     18.2453                106
FORENSIC CHEMISTRY                                                                                        18.1667                  6
JOURNAL OF HEPATOLOGY                                                                                     18.1014                434
COMPUTATIONAL STATISTICS & DATA ANALYSIS                                                                  17.5397                 63
INTERNATIONAL JOURNAL OF DRUG POLICY                                                                      17.5312                 32
ENVIRONMENTAL INNOVATION AND SOCIETAL TRANSITIONS                                                         17.5                     8
CURRENT OPINION IN INSECT SCIENCE                                                                         17.4                    10
CURRENT OPINION IN BEHAVIORAL SCIENCES                                                                    17.3333                 24
BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING                                             17.3333                  9
CURRENT OPINION IN GREEN AND SUSTAINABLE CHEMISTRY                                                        17.25                    8
INTERNATIONAL JOURNAL OF PHARMACEUTICS                                                                    17.2                    20
JOURNAL OF THE NEUROLOGICAL SCIENCES                                                                      17.0125                160
COMPUTERS IN INDUSTRY                                                                                     16.5758                 33
COGNITIVE SYSTEMS RESEARCH                                                                                16.4                    10
JOURNAL OF INFORMATION SECURITY AND APPLICATIONS                                                          16.3333                 12
INTERNATIONAL JOURNAL OF FORECASTING                                                                      16.3                    10
COMPUTER AIDED GEOMETRIC DESIGN                                                                           16                      17
JOURNAL OF STATISTICAL PLANNING AND INFERENCE                                                             15.8333                 72
JOURNAL OF INDUSTRIAL INFORMATION INTEGRATION                                                             15.75                    4
BLOCKCHAIN-RESEARCH AND APPLICATIONS                                                                      15                       1
JOURNAL OF STROKE & CEREBROVASCULAR DISEASES                                                              14.9375                 64
JOURNAL OF RARE EARTHS                                                                                    14.2545                 55
BEHAVIOURAL PROCESSES                                                                                     14.2292                 48
COMPUTATIONAL GEOMETRY-THEORY AND APPLICATIONS                                                            14.2                    15
HUMAN MOVEMENT SCIENCE                                                                                    14                      29
JOURNAL OF APPLIED POULTRY RESEARCH                                                                       13.7273                 22
JOURNAL OF PURE AND APPLIED ALGEBRA                                                                       13.6711                 76
ECONOMIC MODELLING                                                                                        13.4                    55
BIOMEDICAL JOURNAL                                                                                        13.2857                  7
EMERGING MARKETS REVIEW                                                                                   12.7143                  7
FOOD BIOSCIENCE                                                                                           12.6667                 30
EUROPEAN UROLOGY ONCOLOGY                                                                                 12.5714                  7
CARBON CAPTURE SCIENCE & TECHNOLOGY                                                                       12.5                     2
POETICS                                                                                                   12.4                    15
COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL                                                        12.36                   25
EXTREME MECHANICS LETTERS                                                                                 12.3077                 13
CARBOHYDRATE POLYMER TECHNOLOGIES AND APPLICATIONS                                                        12.25                    4
INTERNET OF THINGS                                                                                        12.25                    8
JOURNAL OF INTEGRATIVE MEDICINE-JIM                                                                       12.1667                  6
BRAIN & DEVELOPMENT                                                                                       11.9857                 70
JOURNAL OF INFECTION AND CHEMOTHERAPY                                                                     11.9643                 28
ALEXANDRIA ENGINEERING JOURNAL                                                                            11.8864                 44
JOURNAL OF KING SAUD UNIVERSITY SCIENCE                                                                   11.7391                 23
INTERNATIONAL JOURNAL OF ACCOUNTING INFORMATION SYSTEMS                                                   11.3333                  3
CLIMATE RISK MANAGEMENT                                                                                   11.1667                  6
JOURNAL OF KING SAUD UNIVERSITY-COMPUTER AND INFORMATION SCIENCES                                         10.95                   20
JOURNAL OF SYSTEMS ARCHITECTURE                                                                           10.7826                 23
JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION                                                           10.7742                 31
INSURANCE MATHEMATICS & ECONOMICS                                                                         10.6176                 34
INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH         10.4                     5
COMPUTER COMMUNICATIONS                                                                                   10.2432                 74
EUROPEAN UROLOGY FOCUS                                                                                     9.71429                14
FOOD PACKAGING AND SHELF LIFE                                                                              9.69231                13
BUSINESS HORIZONS                                                                                          9.61765                34
CURRENT RESEARCH IN FOOD SCIENCE                                                                           9.5                     6
FLATCHEM                                                                                                   9.4                     5
GLOBAL FINANCE JOURNAL                                                                                     9.28571                 7
ECONOMICS & HUMAN BIOLOGY                                                                                  9.09091                11
FUTURE FOODS                                                                                               9                       2
ECONOMIC ANALYSIS AND POLICY                                                                               8.69231                13
AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION                                                               8.60526                76
BIOCYBERNETICS AND BIOMEDICAL ENGINEERING                                                                  8.22222                 9
INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY                                                                  7.69565               115
FOOD STRUCTURE-NETHERLANDS                                                                                 7.5                     2
COMPUTATIONAL AND THEORETICAL CHEMISTRY                                                                    7.44186                43
FOOD CHEMISTRY-X                                                                                           7.22222                 9
BULLETIN DES SCIENCES MATHEMATIQUES                                                                        7.2                    10
EUROPEAN JOURNAL OF RADIOLOGY OPEN                                                                         7.2                     5
GACETA SANITARIA                                                                                           6.9                    30
ECONOMIC SYSTEMS                                                                                           6.83333                 6
JOURNAL OF RADIATION RESEARCH AND APPLIED SCIENCES                                                         6.55556                 9
FOOT AND ANKLE SURGERY                                                                                     6.41667                12
COMPUTER STANDARDS & INTERFACES                                                                            6.36364                22
ECONOMICS OF TRANSPORTATION                                                                                6                       2
JOURNAL OF HIGH ENERGY ASTROPHYSICS                                                                        6                       2
JOURNAL OF APPLIED RESEARCH ON MEDICINAL AND AROMATIC PLANTS                                               5.25                    4
HEALTHCARE-THE JOURNAL OF DELIVERY SCIENCE AND INNOVATION                                                  5.16667                 6
EUROPEAN NEUROPSYCHOPHARMACOLOGY                                                                           4.9                    90
CRITICAL PERSPECTIVES ON ACCOUNTING                                                                        4.8                     5
CASE STUDIES ON TRANSPORT POLICY                                                                           4.75                   12
CURRENT OPINION IN BIOMEDICAL ENGINEERING                                                                  4.6                     5
COLLEGIAN                                                                                                  4.5                    10
BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO                                                       4.35294                17
JACC-CLINICAL ELECTROPHYSIOLOGY                                                                            4.3125                 16
CLIMATE SERVICES                                                                                           4                       2
BIOMATERIALS ADVANCES                                                                                      3.75                    8
JOURNAL OF THE INDIAN CHEMICAL SOCIETY                                                                     3.75                  176
GROUNDWATER FOR SUSTAINABLE DEVELOPMENT                                                                    3.55                   20
EGYPTIAN JOURNAL OF AQUATIC RESEARCH                                                                       3.5                     4
COMPUTERS AND EDUCATION OPEN                                                                               3                       2
COMPUTERS IN HUMAN BEHAVIOR REPORTS                                                                        3                       3
CURRENT RESEARCH IN TOXICOLOGY                                                                             3                       1
INTERNATIONAL JOURNAL OF PHARMACEUTICS-X                                                                   3                       2
AFRICAN JOURNAL OF EMERGENCY MEDICINE                                                                      2.71429                 7
BRAIN, BEHAVIOR, & IMMUNITY - HEALTH                                                                       2.6                     5
JACC: CARDIOONCOLOGY                                                                                       2.6                     5
