/usr/bin/python3 /Users/christianzubcic/Documents/Monash University/2023/Semester 2/FYP/FYP/data/research_topics.py
AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
COPENHAGEN                       21        ['MUNKSGAARD INT PUBL LTD']
AMHERST                          20        ['AMHERST SCIENTIFIC PUBL']
DORDRECHT                        20        ['KLUWER ACADEMIC PUBL']
BUREN                            19.35     ['AEOLUS PRESS', 'AEOLUS PRESS MEDICAL PUBL']
LISSE                            19.2716   ['SWETS ZEITLINGER PUBLISHERS', 'SWETS ZEITLINGER BV']
ST ALBANS                        19        ['SCIENCE REVIEWS 2000 LTD']
DUMFRIESSHIRE                    19        ['SAPIENS PUBLISHING']
LEEDS                            18.9072   ['MANEY PUBLISHING']
ZAGREB                           18.8571   ['KOREMA']
LAWRENCE                         18.8333   ['ALLEN PRESS INC']
READING                          18.7885   ['GORDON BREACH SCI PUBL LTD', 'HARWOOD ACAD PUBL GMBH']
LA GRANGE PK                     18.494    ['AMER NUCLEAR SOCIETY', 'AMER NUCLEAR SOC']
NEWBURY                          18        ['WORLD VETERINARY POULTRY ASSN']
HAMILTON                         18        ['B C DECKER INC']
SINGAPORE                        17.6667   ['WORLD SCIENTIFIC PUBL CO PTE LTD']
SOFIA                            17.3571   ['DIAGNOSIS PRESS LTD']
BIRMINGHAM                       17.1111   ['INST METAL FINISHING']
GAITHERSBURG                     15.5      ['CARTOGRAPHY & GEOGRAPHIC INFOR SOC']
SHEFFIELD                        15.3333   ['CASTINGS TECHNOLOGY INT', 'CASTINGS DEVELOPMENT CENTRE']
ARLINGTON                        15.0625   ['R E S N A PRESS', 'INDUSTRIAL RESEARCH INST, INC', 'INDUSTRIAL RESEARCH INSTITUTE, INC']
LETCHWORTH                       15        ['WOODHEAD PUBL LIMITED']
PARK RIDGE                       14.8511   ['SOC TRIBOLOGISTS & LUBRICATION ENGINEERS']
TOKYO                            14.566    ['ARCHITECTURAL INST JAPAN']
NORWOOD                          14.5      ['ABLEX PUBL CORP']
BURY ST EDMUNDS                  13.5      ['PROFESSIONAL ENGINEERING PUBLISHING LTD']
LANCASTER                        13        ['PARTHENON PUBLISHING GROUP']
WEST BLOOMFIELD                  12.5      ['INDIRA PUBLISHING HOUSE']
WALLINGFORD                      12        ['CABI PUBLISHING']
BOCA RATON                       11.7692   ['CRC PRESS INC', 'CRC PRESS LLC', 'AUERBACH PUBLICATIONS']
BATH                              7.5      ['ROYAL PHOTOGRAPHIC SOC']
NEW DELHI                         6.16667  ['INST ELECTRONICS TELECOMMUNICATION ENGINEERS', 'INST ELECTR TELECOMMUN ENGRS']
ELPHINSTONE RD,                   6        ['BRITISH CARTOGRAPHIC SOC']
CARNFORTH LANCASHIRE              3        ['PARTHENON PUBLISHING GROUP']
BOSTON                            2        ['AUERBACH PUBLICATIONS']
COLUMBIA                          0        ['BELLWETHER PUBL LTD']

AVERAGE CITATIONS FOR FUNDED/UNFUNDED PAPERS
Funding      Ave. Citations    No. of Papers
---------  ----------------  ---------------
Unfunded            37.7983            11199
Funded              44.532              7432

AVERAGE METRICS PER RESEARCH AREA
Research Area                                    Ave. Citations    Ave. Usage 180    Ave. Usage 2013    No. of Papers
---------------------------------------------  ----------------  ----------------  -----------------  ---------------
Instruments & Instrumentation                           95.4167        10.4167             79.6667                 12
Spectroscopy                                            95.4167        10.4167             79.6667                 12
Archaeology                                             80.625          0.375               2.375                   8
Infectious Diseases                                     78.2407         1.03704            15.963                  54
Microbiology                                            78.2407         1.03704            15.963                  54
Operations Research & Management Science                72.4            0.7                 6.4                    10
Nursing                                                 71.25           3.58333            11.4167                 12
History & Philosophy of Science                         71.2029         0.289855            4.02899                69
Rheumatology                                            69              0                   3.5                     2
International Relations                                 66.3571         0                   1.78571                14
Geology                                                 66.1934         1.1768             12.3867                181
History                                                 65.8889         0                   3.11111                 9
Information Science & Library Science                   64.9118         3.13235            43.5                    68
Business & Economics                                    63.8876         2.43195            34.1361                169
Sociology                                               61.8411         0.443709           12.1391                151
Communication                                           60.5            1                   5.25                    4
Criminology & Penology                                  59.9245         1.08491            11.5755                106
Immunology                                              58.8911         0.688119            9.19307               202
Social Work                                             58.375          1.375               4.75                   16
Biomedical Social Sciences                              58.3333         2.2381              7.42857                21
Forestry                                                56.4286         1.04762            12.619                  21
Polymer Science                                         56.1111         1.72222            40.7222                 18
Social Sciences - Other Topics                          55.6667         1.80409            13.6404                342
Public Administration                                   55.6667         2.11111             9.44444                 9
International Relations                                 55.2692         0.6                 7.76154               130
Social Sciences - Other Topics                          54.5789         1.63158             3.78947                19
General & Internal Medicine                             54.1333         1.13333             8.20741               135
Government & Law                                        54.1005         1.20106            13.2169                189
Government & Law                                        54.0465         0.860465            7.27907                43
Women's Studies                                         53.7143         2.21429            11.9286                 14
Biochemistry & Molecular Biology                        53.3485         0.390117            8.08062               769
Film, Radio & Television                                52.5            0.25                2                       4
Science & Technology - Other Topics                     52.1647         2                  36.1412                 85
Cell Biology                                            51.8598         0.241774            6.30758               699
Water Resources                                         51.7115         2.04808            16.0481                104
Ethnic Studies                                          51.5            0.714286            5.57143                14
Biophysics                                              51.0208         0.770833           10.3958                 48
Endocrinology & Metabolism                              51.0208         0.770833           10.3958                 48
Marine & Freshwater Biology                             50.7143         1.71429            26.7143                 28
Geography                                               50.7            3.98333            33                      60
Sociology                                               50.6151         1.2446             17.9784                278
Information Science & Library Science                   50.5631         2.38835            31.5243                103
Asian Studies                                           50.4444         0.533333            2.84444                45
Endocrinology & Metabolism                              50.3824         0.558824            6.85294                34
Research & Experimental Medicine                        50.2656         1.51562            12.9531                 64
Cultural Studies                                        50.2338         0.298701            7.42857                77
Ethnic Studies                                          50.2338         0.298701            7.42857                77
Psychology                                              49.8953         1.1069             13.6459                449
Fisheries                                               48.6364         2.45455            29.5455                 11
Marine & Freshwater Biology                             48.481          1.03797            33.962                  79
Substance Abuse                                         48.4783         0.434783            8.63043                46
Geology                                                 48.4706         2                   5.64706                17
Linguistics                                             48.2439         1.29268             5.80488                41
Computer Science                                        48.0287         2.54578            20.0054                557
Physical Geography                                      48.0224         1.73881            27.0821                134
Development Studies                                     47.7            1.14118            20.5412                170
Family Studies                                          47.6667         0.666667            2.33333                 3
Social Work                                             47.6667         0.666667            2.33333                 3
Construction & Building Technology                      47.0896         3.29851            19.2836                 67
Public Administration                                   47.0884         1.96133            24.9779                181
Art                                                     46.75           0.666667            6.91667                48
Physiology                                              46.5385         0.707692           11.0846                130
Life Sciences & Biomedicine - Other Topics              46.4951         0.475728            7.56311               103
Psychology                                              46.1447         1.13759            11.922                 705
Environmental Sciences & Ecology                        46.1161         2.19547            28.813                 353
Plant Sciences                                          45.9545         0.920455            9.64773                88
Sport Sciences                                          45.9091         0.818182           32.4545                 11
Paleontology                                            45.7778         0.333333            4.77778                 9
Transportation                                          45.6236         3.62921            32.486                 356
History & Philosophy of Science                         45.6061         0.363636            2.4697                 66
Business & Economics                                    45.4427         2.29857            17.4949                978
Psychiatry                                              45.3344         0.940984            9.48525               305
Medical Informatics                                     45.25           1.0625             10.5                    16
Environmental Sciences & Ecology                        45.0885         1.39638            21.328                 497
Agriculture                                             44.9091         3.27273            39                      22
Women's Studies                                         44.8            0.4                 7.8                    15
Cell Biology                                            44.6667         1.17667            13.1067                300
Biodiversity & Conservation                             44.6357         1.06977            21.5659                129
Arts & Humanities - Other Topics                        44.1848         1.15217             4.44565                92
Physical Geography                                      43.95           6.175              26.375                  40
Area Studies                                            43.9222         0.355556            3.34444                90
Rehabilitation                                          43.5729         0.974874           10.3417                398
Asian Studies                                           43.5556         0.555556            4.77778                18
Biotechnology & Applied Microbiology                    43.375          2.775              31.95                   40
Genetics & Heredity                                     43.25           4.75                6.6875                 16
Nursing                                                 43.2432         0.675676            7.16216                37
Reproductive Biology                                    43.1875         0.541667            5.72917                48
Energy & Fuels                                          43.0147         3.95588            17.1029                 68
Social Issues                                           43              0.2                 7.48571                35
Veterinary Sciences                                     42.9444         0.777778            9.83333                18
Food Science & Technology                               42.8232         2.28729            21.2431                181
Life Sciences & Biomedicine - Other Topics              42.7664         0.540146            8.87591               137
Mechanics                                               42.6905         3.67262            20.9524                168
Substance Abuse                                         42.6727         0.531532            7.71471               333
Neurosciences & Neurology                               42.6232         0.521739            7.43478               138
Communication                                           42.4809         2.00763            18.5878                131
Engineering                                             42.4251         2.74064            20.2032                748
Archaeology                                             42.2609         0.0869565           2.30435                23
Remote Sensing                                          42.087          4.15942            18.7246                 69
Agriculture                                             42.0576         1.4416             22.0496                625
Geography                                               42.0449         0.808989           12.8539                 89
Food Science & Technology                               42              0                   0                       1
Integrative & Complementary Medicine                    42              0                   0                       1
Rehabilitation                                          41.9825         0.606127           10.4442                457
Fisheries                                               41.6757         0.324324           10.5405                 37
Psychiatry                                              41.3892         0.635468           11.9901                203
Science & Technology - Other Topics                     41.2545         1.6                15.7182                110
Nuclear Science & Technology                            40.8286         0.428571            4.64286                70
Education & Educational Research                        40.6169         1.88212            10.222                 509
Zoology                                                 40.1379         0.689655           10.069                  29
Toxicology                                              39.9896         0.635417           10.4062                192
Radiology, Nuclear Medicine & Medical Imaging           39.9541         0.798165            6.55963               109
Linguistics                                             39.8814         0.711864           11.1017                118
Reproductive Biology                                    39.8333         0.458333           10.625                  24
Veterinary Sciences                                     39.6923         0.576923            9.74615               130
Chemistry                                               39.6136         1.45455            21.6818                 44
Anthropology                                            39.581          0.247619            5.67619               105
Public, Environmental & Occupational Health             39.5506         0.831461           11.3652                178
Plant Sciences                                          39.3214         1.30357            18.3036                 56
Biotechnology & Applied Microbiology                    39.2826         1.28551            12.1652                690
Entomology                                              39.2687         0.820896           14.8209                 67
Public, Environmental & Occupational Health             39.182          1.00728            13.4369                412
Immunology                                              39.1561         0.803468            7.50289               173
Nutrition & Dietetics                                   39.0761         0.771739           16.5543                 92
Area Studies                                            39              0                   0                       3
Medical Ethics                                          38.7857         2.07143            17.1429                 14
Physics                                                 38.7695         1.68085            16.9326                282
Audiology & Speech-Language Pathology                   38.7143         0.62406            10.8383                266
Music                                                   38.5882         0.235294            4.05882                34
Mechanics                                               37.7654         2.39506            12.0247                 81
Mycology                                                37.3099         0.690141            9.8169                 71
Cardiovascular System & Cardiology                      37.119          0.857143            5.78571                42
Health Care Sciences & Services                         36.9535         0.5                 8.30233                86
Zoology                                                 36.6186         0.670103           14.4227                 97
Mining & Mineral Processing                             36.4569         4.36207            30.5                   116
Nutrition & Dietetics                                   36.4286         0.904762            5.38095                21
Obstetrics & Gynecology                                 36.377          0.442623            5.90164                61
Oncology                                                36.2791         0.435216            6.80731               301
Medical Ethics                                          36.2            0.4                 2                       5
Toxicology                                              36.1465         0.570064           13.9459                314
Obstetrics & Gynecology                                 36.0943         0.943396            9.88679                53
Ophthalmology                                           36.0678         0.40678             3.22034                59
Geriatrics & Gerontology                                35.9855         0.942029           11.5072                 69
Remote Sensing                                          35.6022         1.97312            24.7151                186
Materials Science                                       35.5361         3.15536            26.593                 457
Chemistry                                               35.4875         1.18893            14.7687                921
Philosophy                                              35.2381         0                   1.66667                21
Neurosciences & Neurology                               34.545          0.368333            6.33667               600
Respiratory System                                      34.3077         0.0769231           3.69231                13
Pediatrics                                              34.2812         0.65625            11.125                  32
Oceanography                                            34.1203         1.40602            16.797                 133
History                                                 34              0                   0                       1
Imaging Science & Photographic Technology               33.7676         2.21831            28.3169                142
Mathematics                                             33.619          0.65873             8.87302               126
Mycology                                                33.3636         1                  21.7273                 11
Operations Research & Management Science                33.0876         2.12038            21.9932                731
Meteorology & Atmospheric Sciences                      33.0556         0.388889           10.1667                 36
Engineering                                             32.8023         1.99504            16.0907               1411
Religion                                                32.5926         0.037037            1.22222                27
Otorhinolaryngology                                     32.5327         0.392523            7.43925               107
Classics                                                32.4            0                   0.6                     5
Materials Science                                       32.3574         1.8681             18.0414                652
Optics                                                  32.3333         0.75                8                      12
Energy & Fuels                                          32.3243         1.93243            18.2432                 74
Geochemistry & Geophysics                               32.2143         0.714286           10.5                    14
Construction & Building Technology                      32.1532         3                  18.7298                248
Mathematical Methods In Social Sciences                 32.1442         1.13462             9.75                  104
Pharmacology & Pharmacy                                 31.8956         0.428571            7.8956                182
Thermodynamics                                          31.8289         1.93421            18.6316                 76
Architecture                                            31.0684         2.65798            16.6743                307
Hematology                                              31.0122         0.170732            2.82927                82
Telecommunications                                      31              3                   3.5                     2
Polymer Science                                         30.5833         1                  14.4167                 12
Entomology                                              30.4526         0.768421            7.77895                95
Otorhinolaryngology                                     29.8261         0.565217            3.52174                23
Health Care Sciences & Services                         29.7373         0.525424            7.80508               118
Crystallography                                         29.6239         0.891738           11.604                 351
Computer Science                                        29.5185         1.30864            17.2469                 81
Dentistry, Oral Surgery & Medicine                      29.5            0.5                 1.75                    4
Metallurgy & Metallurgical Engineering                  28.7823         2.24194            21.3226                124
Microscopy                                              28.7692         0.0153846           2.35385                65
Pathology                                               28.7692         0.0153846           2.35385                65
Automation & Control Systems                            28.3088         1.43343            14.7365                353
Pharmacology & Pharmacy                                 27.6696         1.12054            11.1473                224
Transportation                                          27.6387         1.05759            15.6283                191
Cardiovascular System & Cardiology                      27.073          0.270073            4.0438                137
Telecommunications                                      27.0266         0.803191            7.2234                188
Urology & Nephrology                                    26.7188         0.25                1.1875                 32
Electrochemistry                                        26.5246         1.5082             17.1639                 61
Literature                                              26.1538         0.923077            4.30769                13
Demography                                              26.0952         0.666667            9.71429                21
Music                                                   25.8571         0.142857            3.07143                14
Legal Medicine                                          25.7742         0.645161           12.129                  31
Imaging Science & Photographic Technology               24.6944         0.472222            8.41667                36
Nuclear Science & Technology                            23.8702         0.40458             4.0687                131
Mathematics                                             23.8043         0.59058             5.93478               552
Metallurgy & Metallurgical Engineering                  23.4026         0.952381           13.7879                231
Instruments & Instrumentation                           23.25           1.82143            15.2143                 28
Surgery                                                 22.7755         0.170068            2.28571               147
Infectious Diseases                                     22.0606         0.30303             3.9697                 33
Theater                                                 21.7273         0.25                1.97727                44
Surgery                                                 19.037          0.222222            2.96296               108
Cultural Studies                                        19              0.25                1.75                    4
Ophthalmology                                           18.16           0.1                 1.42                   50
Anesthesiology                                          17.5556         0.111111            0.555556                9
Genetics & Heredity                                     12.6536         0.668675            6.17169               332
Crystallography                                         12              1                   5                       1
Radiology, Nuclear Medicine & Medical Imaging           10.5            0.25                1.5                     4


Process finished with exit code 0
