/usr/bin/python3 /Users/christianzubcic/Documents/Monash University/2023/Semester 2/FYP/FYP/data/research_topics.py
AVERAGE CITATIONS PER YEAR
  Publish Year    Ave. Citations    No. of Papers
TRANSPORTMETRICA A-TRANSPORT SCIENCE                                                                       49.3537                82
NORDIC SOCIAL WORK RESEARCH                                                                                49.3333                 6
AUSTRALIAN JOURNAL OF CIVIL ENGINEERING                                                                    49.3333                 6
ARCTIC ANTARCTIC AND ALPINE RESEARCH                                                                       49.1692                65
INTERNATIONAL JOURNAL OF FRUIT SCIENCE                                                                     49.0625                16
INTERNATIONAL JOURNAL OF SUSTAINABLE ENGINEERING                                                           48.8333                12
MOLECULAR SIMULATION                                                                                       48.8235                34
SOULS                                                                                                      48.7778                 9
JOURNAL OF REAL ESTATE RESEARCH                                                                            48.75                   8
SUSTAINABLE AND RESILIENT INFRASTRUCTURE                                                                   48.6667                 6
AQUACULTURE ECONOMICS & MANAGEMENT                                                                         48.6364                11
POLITICAL COMMUNICATION                                                                                    48.569                 58
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE                                                                 48.4783                46
BIG EARTH DATA                                                                                             48.4706                17
DRUGS-EDUCATION PREVENTION AND POLICY                                                                      48.4595                37
JOURNAL OF LEISURE RESEARCH                                                                                48.3333                 3
COACHING-AN INTERNATIONAL JOURNAL OF THEORY RESEARCH AND PRACTICE                                          48.3333                 6
ARCHIVES OF AGRONOMY AND SOIL SCIENCE                                                                      48.1429                63
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE                                                  48.0385                52
HISTORY OF PHOTOGRAPHY                                                                                     47.8929                28
TRANSPORTMETRICA B-TRANSPORT DYNAMICS                                                                      47.6667                48
CHILD CARE IN PRACTICE                                                                                     47.6667                 3
AUSTRALIAN PSYCHOLOGIST                                                                                    47.4068                59
RELIGION & EDUCATION                                                                                       47.25                   4
DISABILITY AND REHABILITATION-ASSISTIVE TECHNOLOGY                                                         47                     33
BIOREMEDIATION JOURNAL                                                                                     47                     13
VETERINARY QUARTERLY                                                                                       46.8966                29
BIOFUELS-UK                                                                                                46.875                 24
SUBSTANCE USE & MISUSE                                                                                     46.642                176
POLITICAL SCIENCE                                                                                          46.5455                22
MABS                                                                                                       46.4655                58
ARCHIVES OF PHYTOPATHOLOGY AND PLANT PROTECTION                                                            46.4615                26
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY                                                       46.3784                37
JOURNAL OF HEALTH COMMUNICATION                                                                            46.3043                23
SOCIETY & NATURAL RESOURCES                                                                                46.2676               142
CANADIAN JOURNAL OF PLANT PATHOLOGY                                                                        45.9167                36
JOURNAL OF APPLIED SPORT PSYCHOLOGY                                                                        45.9091                11
ICHNOS-AN INTERNATIONAL JOURNAL FOR PLANT AND ANIMAL TRACES                                                45.7778                 9
CODESIGN-INTERNATIONAL JOURNAL OF COCREATION IN DESIGN AND THE ARTS                                        45.6842                19
AUSTRALIAN JOURNAL OF EARTH SCIENCES                                                                       45.6232                69
DEFENCE AND PEACE ECONOMICS                                                                                45.5806                31
BIOACOUSTICS-THE INTERNATIONAL JOURNAL OF ANIMAL SOUND AND ITS RECORDING                                   45.4167                12
EUROPEAN JOURNAL OF PSYCHOTRAUMATOLOGY                                                                     45.4                   15
BIOLOGICAL RHYTHM RESEARCH                                                                                 45.3023                43
INFORMATICS FOR HEALTH & SOCIAL CARE                                                                       45.25                  16
WORK AND STRESS                                                                                            45.127                 63
ISSUES IN MENTAL HEALTH NURSING                                                                            45.125                 32
TRANSACTIONS OF THE INDIAN CERAMIC SOCIETY                                                                 45.1111                18
TOXICOLOGY MECHANISMS AND METHODS                                                                          45                     59
JOURNAL OF INDUSTRIAL AND PRODUCTION ENGINEERING                                                           45                      9
INTERNATIONAL JOURNAL OF AEROSPACE PSYCHOLOGY                                                              45                      2
ISLETS                                                                                                     45                      6
ARID LAND RESEARCH AND MANAGEMENT                                                                          44.9091                22
SOUTHERN AFRICAN LINGUISTICS AND APPLIED LANGUAGE STUDIES                                                  44.8056                36
HEALTH CARE FOR WOMEN INTERNATIONAL                                                                        44.8                   15
BIOENGINEERED                                                                                              44.7984               129
JOURNAL OF CONTROL AND DECISION                                                                            44.7692                13
DISABILITY AND REHABILITATION                                                                              44.75                 216
TOPICS IN STROKE REHABILITATION                                                                            44.6739                46
SEXUAL AND REPRODUCTIVE HEALTH MATTERS                                                                     44.4783                23
